00000.png;1794;0;1920;98;1;0.79
00000.png;161;594;215;632;1;1.00
00001.png;1807;0;1920;68;1;0.65
00001.png;373;6;415;24;1;1.00
00001.png;1733;1073;1760;1080;1;1.00
00002.png;1789;0;1920;81;1;0.67
00002.png;144;576;243;606;1;0.45
00002.png;404;584;483;670;1;0.77
00003.png;1242;370;1634;616;1;1.00
00004.png;1093;574;1153;623;1;1.00
00004.png;1289;415;1668;633;1;1.00
00004.png;226;579;276;594;1;0.80
00004.png;230;623;281;662;1;0.47
00005.png;931;611;961;641;1;0.56
00005.png;661;611;693;642;1;0.81
00005.png;1087;443;1456;658;1;1.00
00005.png;614;622;639;646;1;0.57
00006.png;541;11;1003;249;1;1.00
00006.png;1439;625;1457;638;1;0.45
00006.png;1392;621;1413;630;1;0.87
00006.png;633;278;688;321;1;0.93
00006.png;1172;91;1191;116;1;0.49
00006.png;1644;640;1668;676;1;0.63
00006.png;858;291;909;333;1;1.00
00006.png;1079;266;1088;281;1;0.43
00007.png;1351;394;1503;529;1;0.99
00007.png;1314;425;1565;544;1;0.98
00007.png;1515;448;1567;542;1;1.00
00008.png;1179;439;1468;634;1;1.00
00009.png;1215;387;1572;621;1;1.00
00010.png;1137;459;1484;655;1;1.00
00011.png;1118;351;1582;666;1;0.90
00011.png;682;543;799;609;1;1.00
00012.png;1017;291;1625;675;1;1.00
00012.png;772;579;809;593;1;0.67
00012.png;808;578;823;592;1;0.51
00013.png;692;140;1043;423;1;0.96
00014.png;741;71;1191;372;1;1.00
00014.png;443;531;458;544;1;0.42
00015.png;583;159;1032;441;1;1.00
00016.png;774;121;1237;400;1;0.92
00016.png;845;203;883;241;1;0.61
00017.png;543;147;887;436;1;0.96
00018.png;1150;348;1716;621;1;0.99
00019.png;779;114;809;150;1;0.54
00019.png;1029;169;1109;263;1;0.62
00019.png;823;198;885;247;1;0.68
00020.png;779;114;809;150;1;0.54
00020.png;1029;169;1109;263;1;0.62
00020.png;823;198;885;247;1;0.68
00021.png;1192;262;1813;609;1;0.96
00022.png;1301;294;1807;611;1;1.00
00023.png;666;125;1081;332;1;0.85
00024.png;1281;218;1828;543;1;1.00
00025.png;271;210;330;264;1;1.00
00025.png;1067;501;1131;539;1;1.00
00026.png;1026;281;1512;619;1;1.00
00027.png;526;70;900;341;1;1.00
00028.png;1109;222;1722;632;1;1.00
00028.png;1411;263;1441;272;1;0.80
00028.png;1406;1034;1604;1080;1;1.00
00028.png;1217;510;1271;521;1;0.96
00028.png;1254;473;1272;485;1;0.86
00028.png;1352;1042;1376;1054;1;1.00
00029.png;1016;291;1535;623;1;1.00
00029.png;1867;575;1920;608;1;0.41
00030.png;296;239;311;251;1;0.77
00030.png;1640;391;1736;447;1;0.52
00030.png;1198;265;1608;538;1;1.00
00030.png;1873;691;1920;723;1;0.54
00030.png;1863;351;1920;399;1;0.77
00031.png;1411;479;1443;515;1;0.62
00032.png;1197;172;1860;556;1;0.93
00032.png;1597;388;1735;517;1;0.77
00032.png;1303;441;1341;484;1;0.82
00033.png;927;560;963;583;1;0.56
00033.png;1128;528;1152;552;1;0.66
00033.png;639;1073;659;1080;1;1.00
00033.png;583;57;875;395;1;0.99
00034.png;1282;207;1920;601;1;0.90
00034.png;1544;338;1636;365;1;0.59
00035.png;1310;331;1920;738;1;1.00
00036.png;197;540;251;580;1;0.66
00036.png;1173;538;1223;578;1;0.95
00036.png;1618;451;1920;571;1;0.60
00036.png;457;54;801;405;1;1.00
00036.png;1684;381;1884;432;1;0.81
00037.png;1211;336;1583;588;1;1.00
00038.png;704;397;724;409;1;0.47
00038.png;1215;266;1845;614;1;0.95
00038.png;1419;490;1443;505;1;0.93
00039.png;451;463;488;490;1;0.99
00039.png;764;489;799;520;1;0.98
00039.png;599;488;642;524;1;0.73
00039.png;710;40;1070;316;1;1.00
00040.png;649;506;676;527;1;0.80
00040.png;935;511;967;543;1;0.74
00040.png;1248;179;1741;586;1;1.00
00040.png;1400;338;1419;353;1;1.00
00040.png;1516;304;1537;342;1;0.89
00041.png;689;78;891;253;1;1.00
00041.png;848;223;860;242;1;0.44
00041.png;695;180;713;192;1;0.52
00041.png;781;224;793;239;1;0.46
00041.png;685;122;728;160;1;0.88
00041.png;661;260;715;299;1;0.87
00041.png;859;262;914;305;1;0.92
00041.png;865;132;891;162;1;0.90
00042.png;1039;163;1569;597;1;1.00
00043.png;645;9;1014;371;1;1.00
00043.png;1149;488;1181;525;1;0.46
00044.png;1136;69;1920;656;1;1.00
00045.png;571;59;931;389;1;1.00
00046.png;1040;511;1066;536;1;0.43
00046.png;1246;180;1745;553;1;1.00
00047.png;1397;398;1622;496;1;0.97
00047.png;1590;454;1650;499;1;1.00
00047.png;1456;360;1579;444;1;0.95
00047.png;1610;423;1649;456;1;0.90
00048.png;965;393;1286;608;1;1.00
00048.png;726;515;744;533;1;0.42
00049.png;485;111;782;317;1;1.00
00049.png;496;55;849;349;1;1.00
00049.png;731;144;756;158;1;1.00
00049.png;608;140;700;240;1;1.00
00049.png;575;271;626;305;1;1.00
00049.png;556;288;580;301;1;1.00
00050.png;890;420;1316;761;1;1.00
00050.png;1067;443;1140;507;1;0.93
00050.png;1232;506;1250;530;1;0.89
00050.png;1054;648;1119;681;1;0.98
00051.png;1135;535;1454;741;1;1.00
00052.png;495;0;1377;425;1;1.00
00052.png;134;617;272;673;1;0.59
00053.png;1021;427;1528;740;1;1.00
00054.png;1027;521;1371;699;1;1.00
00055.png;1394;434;1678;728;1;1.00
00055.png;1087;685;1131;730;1;0.87
00055.png;837;662;870;706;1;0.44
00056.png;820;378;854;409;1;0.78
00056.png;1181;448;1791;768;1;1.00
00056.png;1272;692;1603;802;1;0.47
00056.png;730;693;808;756;1;0.70
00056.png;781;687;883;773;1;0.46
00056.png;593;710;715;765;1;0.82
00056.png;1168;795;1183;814;1;0.48
00057.png;571;664;596;685;1;0.45
00057.png;683;280;1080;528;1;1.00
00058.png;479;144;918;498;1;1.00
00058.png;660;231;739;270;1;1.00
00058.png;751;311;765;325;1;1.00
00059.png;1035;362;1557;761;1;1.00
00060.png;560;657;596;689;1;0.45
00060.png;654;103;1206;485;1;1.00
00061.png;43;630;121;692;1;1.00
00061.png;348;84;878;481;1;1.00
00061.png;788;344;801;364;1;0.45
00061.png;576;170;724;237;1;1.00
00061.png;749;175;770;195;1;1.00
00061.png;472;164;529;196;1;1.00
00061.png;728;352;758;373;1;0.91
00061.png;1138;669;1206;738;1;1.00
00061.png;640;308;677;322;1;0.95
00061.png;550;298;571;322;1;1.00
00061.png;620;262;634;276;1;0.85
00062.png;524;92;1056;470;1;1.00
00063.png;741;34;1385;499;1;1.00
00063.png;1230;185;1321;210;1;0.55
00063.png;991;726;1040;769;1;0.62
00063.png;1094;689;1175;720;1;1.00
00063.png;946;754;960;774;1;0.43
00063.png;827;364;872;388;1;1.00
00063.png;889;175;910;183;1;1.00
00064.png;552;97;1027;472;1;0.95
00064.png;636;285;931;335;1;0.47
00065.png;812;252;837;277;1;1.00
00065.png;524;186;845;405;1;1.00
00065.png;690;379;745;404;1;1.00
00065.png;696;230;734;257;1;1.00
00065.png;530;297;840;354;1;0.54
00065.png;776;369;837;413;1;1.00
00065.png;983;279;1050;345;1;0.48
00066.png;663;28;1397;443;1;1.00
00066.png;1161;374;1205;387;1;1.00
00066.png;927;330;946;348;1;1.00
00067.png;429;38;1427;530;1;1.00
00067.png;938;191;974;245;1;0.62
00067.png;513;586;579;650;1;0.89
00067.png;483;51;690;420;1;1.00
00067.png;1331;600;1409;690;1;0.79
00067.png;188;529;260;620;1;0.83
00068.png;129;529;167;538;1;0.69
00068.png;0;496;45;518;1;0.95
